Generation 0:
Agg: 0.49995000499950004, Lines: 4.999500049995001e-05, Holes: 0.49995000499950004, Bump: -4.999500049995001e-05, Multi: 0.0, Fitness: 0
Agg: -0.2537727961142177, Lines: 0.32895182474023416, Holes: -0.2770410614621097, Bump: -0.03717283020716389, Multi: 0.10306148747627461, Fitness: 0
Agg: -0.11139596729727075, Lines: 0.7149698465314486, Holes: -0.11102523792730783, Bump: -0.03654611155976479, Multi: 0.026062836684208095, Fitness: 5320
Agg: -0.005794786065269595, Lines: 0.7000022973473179, Holes: -0.020746531139475142, Bump: -0.2677676738158211, Multi: 0.005688711632116181, Fitness: 230
Agg: -0.06801381478793612, Lines: 0.5396727505501104, Holes: -0.26459088884826404, Bump: -0.031540567612208976, Multi: 0.09618197820148035, Fitness: 5710
Agg: -0.16737798957863878, Lines: 0.6954434587362447, Holes: -0.009908940505598875, Bump: -0.08113143727113413, Multi: 0.04613817390838333, Fitness: 1490
Agg: -0.026822074635470473, Lines: 0.6945608631061894, Holes: -0.16099978166662535, Bump: -0.0756828228865565, Multi: 0.04193445770515838, Fitness: 1860
Agg: -0.13811907356024422, Lines: 0.4698762049799056, Holes: -0.16637124458557218, Bump: -0.1751338327840546, Multi: 0.05049964409022332, Fitness: 20
Agg: -0.25185892224632567, Lines: 0.060351729128537764, Holes: -0.2812818699802879, Bump: -0.22474294291051775, Multi: 0.18176453573433082, Fitness: 0
Agg: -0.126605844786524, Lines: 0.21609660325151234, Holes: -0.20728003164943254, Bump: -0.2602992468625635, Multi: 0.18971827344996756, Fitness: 0
Agg: -0.2568118869110921, Lines: 0.265500436277331, Holes: -0.07423722195853669, Bump: -0.19225616833627943, Multi: 0.21119428651676067, Fitness: 270

Best from Generation 2
Agg: -0.11139596729727075, Lines: 0.7149698465314486, Holes: -0.11102523792730783, Bump: -0.03654611155976479, Multi: 0.026062836684208095, Fitness: 5320
Agg: -0.06801381478793612, Lines: 0.5396727505501104, Holes: -0.26459088884826404, Bump: -0.031540567612208976, Multi: 0.09618197820148035, Fitness: 5710

Generation 3:
Agg: -0.11139596729727075, Lines: 0.7149698465314486, Holes: -0.11102523792730783, Bump: -0.03654611155976479, Multi: 0.026062836684208095, Fitness: 1450
